id,en,ru
new_game,New Game,Новая Игра
continue,Continue,Продолжить
settings,Settings,Настройки
about,About,Об игре
exit,Exit,Выход
pause,Pause,Пауза
close,Close,Закрыть
exit_menu,Exit to the Main Menu,Выйти
about_control,Control,Управление
about_movement,WASD - Movement,WASD - Передвижение
about_interact,E - Interact,E - Взаимодействие
about_flashlight,F - Flashlight,F - Фонарик
about_run,Shift - Run,Shift - Бег
about_pause,Esc - Pause Menu,Esc - Меню Паузы
fullscreen,Fullscreen,Полноэкранный режим
russian,Russian,Русский
english,English,Английский
set_language,Language,Язык
mouse_sensitivity,Mouse Sensitivity,Чувствительность мыши
reset_game,Clear Progress,Стереть прогресс
reset_settings,Reset Settings,Сбросить настройки
p_shader,Pixelation,Пиксилизация
note,Note,Записка
notes,Notes,Записки
insight,Insight,Озарение
book,Book,Книга
note_1,Note 1/5,Записка 1/5
note_1_text,What does he want to tell me?,Что он хочет мне сказать?
note_2,Note 2/5,Записка 2/5
note_2_text,"One has red eyes, the other ... I couldn't see. Why is he running away?","У одного красные глаза, у другого… не разглядел. Почему он убегает?"
note_3,Note 3/5,Записка 3/5
note_3_text,Why am I dreaming about this?,Почему мне это снится?
note_4,Note 4/5,Записка 4/5
note_4_text,It's a dead end again... When do I get to the end of the road?,Снова тупик… Когда я доберусь до конца пути?
note_5,Note 5/5,Записка 5/5
note_5_text,"Everything that happens here is my dream. For six nights I dreamt about this place. At first, all these turns and dead ends weren't there, but coming back, more and more space appeared. I still want to figure out what this place is and why I dreamt it... If anyone happens to be here... Better RUN if you hear NOT YOUR footsteps... I'm not alive anymore...","Всё, что здесь происходит - это мой сон. В течении шести ночей мне снилось это место. Сначала всех этих поворотов и тупиков не было, но возвращаясь, появлялось всё больше пространства. До сих пор хочется понять, что это за место и почему мне это снилось… Если кто-нибудь здесь окажется… Лучше БЕГИТЕ, если услышите НЕ СВОИ шаги… Меня уже нет в живых…"
note_6,Secret note 1/3,Секретная записка 1/3
note_6_text,I seem to be stuck here... Why am I here again after... Am I alive?,"Кажется, я застрял здесь… Почему я снова здесь после… Жив ли я?"
note_7,Secret note 2/3,Секретная записка 2/3
note_7_text,"Hmm, this place doesn't go on anymore. It's like time has stopped together with me, isn't it? I've lost my sense of time. I feel bad. I still feel pain. Maybe I shouldn't have gone near the sewers. I was lured by the sound of a crying baby... I thought someone had accidentally fallen in there... Sneaky and sneaky.","Хм, это место больше не продолжается. Как будто время остановилось вместе со мной, да? Я потерял ощущение времени. Мне плохо. До сих пор чувствую боль. Может, не стоило мне подходить к канализации? Меня заманили на звук плачущего ребёнка… Я думал, кто-то случайно упал туда… Подло и хитро."
note_8,Secret note 3/3,Секретная записка 3/3
note_8_text,"I didn't expect to see something in reality. It was a real monster. Everything happened quickly... One day, a grandfather came to us, it turns out, he was a relative of my dead mother. He had a present for me, an amulet. Said I could use it. Was there a sense in it? I feel something's still there. If you happen to find yourself near that sewer downpipe at night, I hope you can sense the danger. And yes, if you're unlucky, there's still my amulet lying out there somewhere. Take it. It's all I had, and now it will be my gift to you.","Я не ожидал увидеть нечто в реальности. Это был самый настоящий монстр. Всё произошло быстро… Однажды, к нам пришёл один дедушка, оказывается, он родственник моей покойной матери. У него был для меня подарок - амулет. Сказал, что он мне пригодится. Был ли какой-то смысл в нём? Чувствую, нечто всё ещё там. Если ты вдруг окажешься возле спуска в ту канализацию ночью, надеюсь, ты почувствуешь опасность. И да, если уж так не повезёт, где-то там остался лежать мой амулет. Возьми его. Это всё, что у меня было, а теперь оно будет моим подарком тебе."
warning,Warning,Внимание
info_warning,Confirming will reset your saved progress.,"Подтверждая, вы сбросите сохранённый прогресс."
agree,Agree,Согласен
disagree,Disagree,Не согласен
notes_no,No notes were found,Записки не найдены
previous_note,Previous,Предыдущая
next_note,Next,Следующая
fps_monitor,FPS Counter,Счётчик FPS
vsync,Vertical Sync,Вертикальная Синхронизация
